name,country_code,state,city,locality,ward,pin_code,lat,lng
Whitefield Main,IN,Karnataka,Bangalore,Whitefield,Mahadevapura,560066,12.9698,77.7500
ITPL Area,IN,Karnataka,Bangalore,Whitefield,Mahadevapura,560066,12.9854,77.7381
Brookefield,IN,Karnataka,Bangalore,Brookefield,Mahadevapura,560037,12.9567,77.7183
Kundalahalli,IN,Karnataka,Bangalore,Kundalahalli,Mahadevapura,560037,12.9611,77.7253
Kadugodi,IN,Karnataka,Bangalore,Kadugodi,Mahadevapura,560067,12.9940,77.7637
Varthur,IN,Karnataka,Bangalore,Varthur,Mahadevapura,560087,12.9410,77.7440
Marathahalli,IN,Karnataka,Bangalore,Marathahalli,Mahadevapura,560037,12.9591,77.6974
Bellandur,IN,Karnataka,Bangalore,Bellandur,Mahadevapura,560103,12.9260,77.6762
Sarjapur Road,IN,Karnataka,Bangalore,Sarjapur Road,Bommanahalli,560035,12.9100,77.6870
HSR Layout,IN,Karnataka,Bangalore,HSR Layout,Bommanahalli,560102,12.9116,77.6389
Koramangala,IN,Karnataka,Bangalore,Koramangala,South,560034,12.9352,77.6245
Electronic City,IN,Karnataka,Bangalore,Electronic City,Bommanahalli,560100,12.8456,77.6603
Hebbal,IN,Karnataka,Bangalore,Hebbal,North,560024,13.0358,77.5970
Yelahanka,IN,Karnataka,Bangalore,Yelahanka,Yelahanka,560064,13.1007,77.5963
Devanahalli,IN,Karnataka,Bangalore,Devanahalli,Yelahanka,562110,13.2473,77.7117
Indiranagar,IN,Karnataka,Bangalore,Indiranagar,East,560038,12.9784,77.6408
Jayanagar,IN,Karnataka,Bangalore,Jayanagar,South,560041,12.9308,77.5838
Rajajinagar,IN,Karnataka,Bangalore,Rajajinagar,West,560010,12.9906,77.5527
KR Puram,IN,Karnataka,Bangalore,KR Puram,Mahadevapura,560036,13.0077,77.6969
Hennur,IN,Karnataka,Bangalore,Hennur,North,560043,13.0451,77.6384
Bandra Kurla Complex,IN,Maharashtra,Mumbai,BKC,Bandra East,400051,19.0607,72.8656
Powai,IN,Maharashtra,Mumbai,Powai,L Ward,400076,19.1176,72.9060
Gurugram Cyber City,IN,Haryana,Gurugram,DLF Cyber City,Gurugram,122002,28.4940,77.0890
Noida Sector 62,IN,Uttar Pradesh,Noida,Sector 62,Gautam Buddh Nagar,201309,28.6280,77.3649
HITEC City,IN,Telangana,Hyderabad,HITEC City,Serilingampally,500081,17.4435,78.3772
Gachibowli,IN,Telangana,Hyderabad,Gachibowli,Serilingampally,500032,17.4401,78.3489
OMR Perungudi,IN,Tamil Nadu,Chennai,Perungudi,Sholinganallur,600096,12.9629,80.2405
Hinjawadi,IN,Maharashtra,Pune,Hinjawadi,Mulshi,411057,18.5912,73.7389
Kharadi,IN,Maharashtra,Pune,Kharadi,Haveli,411014,18.5518,73.9474
New Town,IN,West Bengal,Kolkata,New Town,New Town,700156,22.5797,88.4794
GIFT City,IN,Gujarat,Gandhinagar,GIFT City,Gandhinagar,382355,23.1645,72.6830
Kakkanad,IN,Kerala,Kochi,Kakkanad,Ernakulam,682030,10.0159,76.3419
Patia,IN,Odisha,Bhubaneswar,Patia,North Bhubaneswar,751024,20.3553,85.8187
IT Park Chandigarh,IN,Chandigarh,Chandigarh,IT Park,Manimajra,160101,30.7251,76.8106
GS Road,IN,Assam,Guwahati,GS Road,Dispur,781005,26.1445,91.7898
Gomti Nagar,IN,Uttar Pradesh,Lucknow,Gomti Nagar,Gomti Nagar,226010,26.8556,80.9992
Lower Parel,IN,Maharashtra,Mumbai,Lower Parel,G South,400013,18.9980,72.8258
Andheri East,IN,Maharashtra,Mumbai,Andheri East,K East,400069,19.1136,72.8697
Golf Course Road,IN,Haryana,Gurugram,Golf Course Road,Gurugram,122002,28.4494,77.1003
Noida Sector 150,IN,Uttar Pradesh,Noida,Sector 150,Gautam Buddh Nagar,201310,28.5591,77.3384
Kondapur,IN,Telangana,Hyderabad,Kondapur,Serilingampally,500084,17.4716,78.3609
