location_name,price_per_sqft,property_type,recorded_date,source
Whitefield Main,6500,apartment,2025-01-15,housing.com
Whitefield Main,6200,apartment,2024-06-10,housing.com
Whitefield Main,5800,apartment,2024-01-05,housing.com
Whitefield Main,5400,apartment,2023-06-15,housing.com
Whitefield Main,8200,villa,2025-01-20,nobroker
ITPL Area,7200,apartment,2025-01-12,housing.com
ITPL Area,6800,apartment,2024-06-08,housing.com
ITPL Area,6300,apartment,2024-01-10,housing.com
ITPL Area,5900,apartment,2023-06-20,housing.com
Brookefield,7500,apartment,2025-02-01,housing.com
Brookefield,7000,apartment,2024-06-15,housing.com
Brookefield,6500,apartment,2024-01-20,housing.com
Kundalahalli,6800,apartment,2025-01-18,nobroker
Kundalahalli,6400,apartment,2024-06-12,nobroker
Kadugodi,5200,apartment,2025-01-10,housing.com
Kadugodi,4800,apartment,2024-06-05,housing.com
Kadugodi,4400,apartment,2024-01-08,housing.com
Kadugodi,6500,villa,2025-02-05,nobroker
Varthur,5800,apartment,2025-01-22,housing.com
Varthur,5400,apartment,2024-06-18,housing.com
Varthur,5000,apartment,2024-01-15,housing.com
Varthur,7000,plot,2025-01-25,nobroker
Marathahalli,7800,apartment,2025-01-14,housing.com
Marathahalli,7300,apartment,2024-06-11,housing.com
Marathahalli,6800,apartment,2024-01-07,housing.com
Bellandur,8500,apartment,2025-02-03,housing.com
Bellandur,8000,apartment,2024-06-20,housing.com
Bellandur,7400,apartment,2024-01-18,housing.com
Bellandur,7000,apartment,2023-06-10,housing.com
Sarjapur Road,6200,apartment,2025-01-16,housing.com
Sarjapur Road,5800,apartment,2024-06-13,housing.com
Sarjapur Road,5400,apartment,2024-01-12,housing.com
Sarjapur Road,7800,villa,2025-02-10,nobroker
HSR Layout,9500,apartment,2025-01-20,housing.com
HSR Layout,9000,apartment,2024-06-16,housing.com
HSR Layout,8400,apartment,2024-01-14,housing.com
HSR Layout,8000,apartment,2023-06-12,housing.com
Koramangala,12000,apartment,2025-01-25,housing.com
Koramangala,11200,apartment,2024-06-22,housing.com
Koramangala,10500,apartment,2024-01-20,housing.com
Koramangala,9800,apartment,2023-06-18,housing.com
Electronic City,5000,apartment,2025-01-11,housing.com
Electronic City,4700,apartment,2024-06-07,housing.com
Electronic City,4400,apartment,2024-01-05,housing.com
Hebbal,8000,apartment,2025-02-05,housing.com
Hebbal,7500,apartment,2024-06-25,housing.com
Hebbal,7000,apartment,2024-01-22,housing.com
Yelahanka,5500,apartment,2025-01-13,housing.com
Yelahanka,5100,apartment,2024-06-09,housing.com
Yelahanka,4800,apartment,2024-01-06,housing.com
Devanahalli,4200,apartment,2025-01-17,housing.com
Devanahalli,3900,apartment,2024-06-14,housing.com
Devanahalli,3600,apartment,2024-01-11,housing.com
Devanahalli,5500,plot,2025-02-08,nobroker
Indiranagar,14000,apartment,2025-01-28,housing.com
Indiranagar,13200,apartment,2024-06-24,housing.com
Indiranagar,12500,apartment,2024-01-19,housing.com
Jayanagar,11000,apartment,2025-01-23,housing.com
Jayanagar,10300,apartment,2024-06-19,housing.com
Jayanagar,9700,apartment,2024-01-17,housing.com
Rajajinagar,9000,apartment,2025-01-21,housing.com
Rajajinagar,8500,apartment,2024-06-17,housing.com
Rajajinagar,8000,apartment,2024-01-13,housing.com
KR Puram,5500,apartment,2025-01-19,housing.com
KR Puram,5100,apartment,2024-06-10,housing.com
KR Puram,4800,apartment,2024-01-09,housing.com
Hennur,6000,apartment,2025-02-02,housing.com
Hennur,5600,apartment,2024-06-21,housing.com
Hennur,5200,apartment,2024-01-16,housing.com
Bandra Kurla Complex,32000,office,2025-02-10,magicbricks
Bandra Kurla Complex,29800,office,2024-06-15,magicbricks
Bandra Kurla Complex,27500,office,2023-12-20,magicbricks
Powai,22500,apartment,2025-02-12,housing.com
Powai,21000,apartment,2024-06-18,housing.com
Powai,19600,apartment,2024-01-10,housing.com
Gurugram Cyber City,18500,office,2025-02-08,99acres
Gurugram Cyber City,17000,office,2024-06-22,99acres
Gurugram Cyber City,15500,office,2024-01-14,99acres
Noida Sector 62,11000,apartment,2025-02-06,housing.com
Noida Sector 62,10100,apartment,2024-06-20,housing.com
Noida Sector 62,9300,apartment,2024-01-18,housing.com
HITEC City,9800,apartment,2025-02-09,housing.com
HITEC City,9100,apartment,2024-06-17,housing.com
HITEC City,8400,apartment,2024-01-11,housing.com
Gachibowli,10500,apartment,2025-02-11,housing.com
Gachibowli,9800,apartment,2024-06-19,housing.com
Gachibowli,9100,apartment,2024-01-12,housing.com
OMR Perungudi,9500,apartment,2025-02-07,housing.com
OMR Perungudi,8900,apartment,2024-06-21,housing.com
OMR Perungudi,8200,apartment,2024-01-16,housing.com
Hinjawadi,8600,apartment,2025-02-05,housing.com
