name,infra_type,country_code,state,city,lat,lng,status,source
Whitefield Metro Station,metro_station,IN,Karnataka,Bangalore,12.9698,77.7500,operational,namma_metro
ITPL Metro Station,metro_station,IN,Karnataka,Bangalore,12.9854,77.7381,under_construction,namma_metro
Kadugodi Metro Station,metro_station,IN,Karnataka,Bangalore,12.9940,77.7637,operational,namma_metro
Marathahalli Metro Station,metro_station,IN,Karnataka,Bangalore,12.9591,77.6974,under_construction,namma_metro
KR Puram Metro Station,metro_station,IN,Karnataka,Bangalore,13.0077,77.6969,operational,namma_metro
Indiranagar Metro Station,metro_station,IN,Karnataka,Bangalore,12.9784,77.6408,operational,namma_metro
Hebbal Metro Station,metro_station,IN,Karnataka,Bangalore,13.0358,77.5970,under_construction,namma_metro
Silk Board Metro Station,metro_station,IN,Karnataka,Bangalore,12.9170,77.6230,under_construction,namma_metro
Bellandur Metro Station,metro_station,IN,Karnataka,Bangalore,12.9260,77.6762,planned,namma_metro
HSR Layout Metro Station,metro_station,IN,Karnataka,Bangalore,12.9116,77.6389,planned,namma_metro
Outer Ring Road,highway,IN,Karnataka,Bangalore,12.9500,77.7200,operational,osm
Whitefield Main Road,highway,IN,Karnataka,Bangalore,12.9698,77.7500,operational,osm
Old Airport Road,highway,IN,Karnataka,Bangalore,12.9700,77.6500,operational,osm
NICE Road,highway,IN,Karnataka,Bangalore,12.8800,77.6000,operational,osm
Sarjapur-Marathahalli Road,highway,IN,Karnataka,Bangalore,12.9350,77.7000,operational,osm
Kempegowda International Airport,airport,IN,Karnataka,Bangalore,13.1989,77.7068,operational,osm
Inventure Academy,school,IN,Karnataka,Bangalore,12.9300,77.7400,operational,opencity
Whitefield Global School,school,IN,Karnataka,Bangalore,12.9650,77.7550,operational,opencity
Ryan International Kundalahalli,school,IN,Karnataka,Bangalore,12.9611,77.7253,operational,opencity
Greenwood High School,school,IN,Karnataka,Bangalore,12.9200,77.6900,operational,opencity
NPS Koramangala,school,IN,Karnataka,Bangalore,12.9352,77.6245,operational,opencity
Columbia Asia Whitefield,hospital,IN,Karnataka,Bangalore,12.9700,77.7450,operational,osm
Manipal Hospital Whitefield,hospital,IN,Karnataka,Bangalore,12.9800,77.7300,operational,osm
Narayana Health Bommasandra,hospital,IN,Karnataka,Bangalore,12.8400,77.6700,operational,osm
Fortis Hospital Bannerghatta,hospital,IN,Karnataka,Bangalore,12.8800,77.6000,operational,osm
Sakra World Hospital Bellandur,hospital,IN,Karnataka,Bangalore,12.9260,77.6762,operational,osm
Embassy Tech Village,economic_zone,IN,Karnataka,Bangalore,12.9300,77.6800,operational,osm
