standard_type,country_code,admin_area,region_name,code,title,version_tag,source_url,tags,rules
architectural_standard,IN,Bangalore,Bangalore Metropolitan,BAS-CLIM-01,Tropical Ventilation Standard,v2026,https://example.com/bangalore-ventilation,design|standard,"{""orientation"":""minimize_west_glazing"",""cross_ventilation"":true,""recommended_shading_depth_m"":1.2}"
construction_guideline,IN,Bangalore,Bangalore Metropolitan,BCG-WATER-01,Flood Resilient Site Guideline,v2026,https://example.com/bangalore-flood,bylaw|water,"{""min_plinth_height_m"":0.45,""rainwater_harvesting_required"":true,""permeable_surface_pct_min"":20}"
bylaw,IN,Bangalore,Bangalore Metropolitan,BBMP-BL-SETBACK,Urban Setback Compliance Reference,v2026,https://example.com/bbmp-setback,bylaw|compliance,"{""front_setback_check"":""masterplan_front_setback"",""side_setback_check"":""masterplan_side_setback"",""height_clearance_rule"":""verify_max_height_m""}"
architectural_standard,IN,Karnataka,Karnataka,KAS-ACCESS-01,Universal Access Planning Standard,v2025,https://example.com/karnataka-access,design|accessibility,"{""universal_access"":true,""lift_required_above_floors"":4,""ramp_slope_ratio"":12}"
architectural_standard,IN,,India,IND-CLIM-01,All-India Passive Cooling Guidance,v2026,https://example.com/india-passive-cooling,design|national,"{""orientation"":""reduce_solar_gain"",""cross_ventilation"":true,""courtyard_recommended"":true}"
construction_guideline,IN,,India,IND-WATER-01,National Rainwater Harvesting Baseline,v2026,https://example.com/india-rwh,water|national,"{""rainwater_harvesting_required"":true,""stormwater_reuse_encouraged"":true}"
bylaw,IN,,India,IND-FIRE-01,National Fire Egress Reference,v2026,https://example.com/india-fire,compliance|national,"{""dual_egress_above_floors"":6,""fire_tender_access_required"":true}"
architectural_standard,IN,Maharashtra,Maharashtra,MAH-DENS-01,High Density Mixed-Use Planning Note,v2026,https://example.com/maharashtra-density,design|state,"{""mixed_use_corridor_priority"":true,""parking_cap_ratio"":1.2}"
construction_guideline,IN,Haryana,Haryana,HAR-MOB-01,Transit-Oriented Commercial Envelope,v2026,https://example.com/haryana-tod,planning|state,"{""tod_bonus_near_metro_m"":800,""active_frontage_required"":true}"
architectural_standard,IN,Telangana,Telangana,TEL-TECH-01,Tech Corridor Site Efficiency Standard,v2026,https://example.com/telangana-tech,design|state,"{""campus_integration_required"":true,""preferred_setback_strategy"":""layered""}"
construction_guideline,IN,Tamil Nadu,Tamil Nadu,TN-FLOOD-01,Coastal Stormwater Design Baseline,v2026,https://example.com/tamilnadu-water,water|state,"{""min_site_drainage_redundancy"":2,""permeable_surface_pct_min"":18}"
architectural_standard,IN,West Bengal,West Bengal,WB-WET-01,Eastern Wetland Buffer Guidance,v2026,https://example.com/westbengal-wetland,design|state,"{""wetland_buffer_m"":30,""ground_floor_services_raised"":true}"
bylaw,IN,Gujarat,Gujarat,GUJ-GIFT-01,Financial District Tower Envelope Note,v2026,https://example.com/gujarat-gift,compliance|state,"{""podium_tower_typology"":true,""wind_mitigation_study_required"":true}"
construction_guideline,IN,Kerala,Kerala,KER-HUMID-01,Humid Climate Ventilation Baseline,v2026,https://example.com/kerala-humid,design|state,"{""deep_shading_required"":true,""cross_ventilation"":true}"
construction_guideline,IN,Odisha,Odisha,ODI-CYCL-01,Cyclone Resilience Site Guideline,v2026,https://example.com/odisha-cyclone,resilience|state,"{""roof_uplift_review_required"":true,""backup_power_for_pumps"":true}"
architectural_standard,IN,Chandigarh,Chandigarh,CHD-GRID-01,Capital Gridfront Development Guidance,v2026,https://example.com/chandigarh-grid,planning|state,"{""uniform_streetwall_preferred"":true,""tree_setback_protection_m"":2}"
construction_guideline,IN,Assam,Assam,ASM-RAIN-01,High Rainfall Envelope Detailing Note,v2026,https://example.com/assam-rain,resilience|state,"{""elevated_plinth_recommended"":true,""roof_drain_capacity_factor"":1.25}"
architectural_standard,IN,Uttar Pradesh,Uttar Pradesh,UP-MIX-01,Growth Corridor Mixed-Use Guidance,v2026,https://example.com/up-mixed,planning|state,"{""mixed_use_node_priority"":true,""ground_floor_retail_encouraged"":true}"
